,FIPS,STNAME,CTYNAME,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,NHWA_MALE,NHWA_FEMALE,NHWhite_Alone,Not_NHWhite_Alone,MinorityMinority,MinorityPCT,Black,BlackPCT,Hispanic,HispanicPCT,locationID,slug,name,level,city,county,state,country,lat,long,population,aggregate,tz,cases,deaths,recovered,active,tested,hospitalized,hospitalized_current,discharged,icu,icu_current
13086,37125,North Carolina,Moore County,90302,43233,47069,36172,38601,33637,36342,69979,20323,No,22.51%,12127,13%,5477,6.07%,iso1:us#iso2:us-tn#fips:47127,moore-county-tennessee-us,"Moore County, Tennessee, United States",county,0.0,Moore County,Tennessee,United States,35.28,-86.36,6488,0.0,America/Chicago,286.0,2.0,0.0,0.0,3261.0,6.0,0.0,0.0,0.0,0.0
13087,37125,North Carolina,Moore County,90302,43233,47069,36172,38601,33637,36342,69979,20323,No,22.51%,12127,13%,5477,6.07%,iso1:us#iso2:us-tx#fips:48341,moore-county-texas-us,"Moore County, Texas, United States",county,0.0,Moore County,Texas,United States,35.84,-101.89,20940,0.0,America/Chicago,1338.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13094,37127,North Carolina,Nash County,95708,46303,49405,27349,28119,24692,25872,50564,45144,No,47.17%,36796,38%,6177,6.45%,iso1:us#iso2:us-nc#fips:37127,nash-county-north-carolina-us,"Nash County, North Carolina, United States",county,0.0,Nash County,North Carolina,United States,35.97,-77.99,94298,0.0,America/New_York,3516.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13095,37129,North Carolina,New Hanover County,209234,101023,108211,82767,87567,77747,83226,160973,48261,No,23.07%,30593,15%,11260,5.38%,iso1:us#iso2:us-nc#fips:37129,new-hanover-county-north-carolina-us,"New Hanover County, North Carolina, United States",county,0.0,New Hanover County,North Carolina,United States,34.23,-77.88,234473,0.0,America/New_York,5410.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13096,37131,North Carolina,Northampton County,21428,10386,11042,4290,4257,4146,4175,8321,13107,Yes,61.17%,12492,58%,363,1.69%,iso1:us#iso2:us-nc#fips:37131,northampton-county-north-carolina-us,"Northampton County, North Carolina, United States",county,0.0,Northampton County,North Carolina,United States,36.42,-77.4,19483,0.0,America/New_York,577.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13097,37131,North Carolina,Northampton County,21428,10386,11042,4290,4257,4146,4175,8321,13107,Yes,61.17%,12492,58%,363,1.69%,iso1:us#iso2:us-pa#fips:42095,northampton-county-pennsylvania-us,"Northampton County, Pennsylvania, United States",county,0.0,Northampton County,Pennsylvania,United States,40.75,-75.31,305285,0.0,America/New_York,5481.0,313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13098,37131,North Carolina,Northampton County,21428,10386,11042,4290,4257,4146,4175,8321,13107,Yes,61.17%,12492,58%,363,1.69%,iso1:us#iso2:us-va#fips:51131,northampton-county-virginia-us,"Northampton County, Virginia, United States",county,0.0,Northampton County,Virginia,United States,37.34,-75.88,11710,0.0,America/New_York,320.0,31.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0
13105,37133,North Carolina,Onslow County,183263,98871,84392,76679,63706,67215,56715,123930,59333,No,32.38%,29764,16%,20422,11.14%,iso1:us#iso2:us-nc#fips:37133,onslow-county-north-carolina-us,"Onslow County, North Carolina, United States",county,0.0,Onslow County,North Carolina,United States,34.73,-77.43,197938,0.0,America/New_York,3516.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13106,37137,North Carolina,Pamlico County,13074,6686,6388,5093,5006,4883,4856,9739,3335,No,25.51%,2655,20%,430,3.29%,iso1:us#iso2:us-nc#fips:37137,pamlico-county-north-carolina-us,"Pamlico County, North Carolina, United States",county,0.0,Pamlico County,North Carolina,United States,35.14,-76.74,12726,0.0,America/New_York,330.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13107,37139,North Carolina,Pasquotank County,40591,19905,20686,11728,11865,11031,11201,22232,18359,No,45.23%,15423,38%,1767,4.35%,iso1:us#iso2:us-nc#fips:37139,pasquotank-county-north-carolina-us,"Pasquotank County, North Carolina, United States",county,0.0,Pasquotank County,North Carolina,United States,36.3,-76.28,39824,0.0,America/New_York,902.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13108,37141,North Carolina,Pender County,54195,27073,27122,21527,21303,19935,20105,40040,14155,No,26.12%,9605,18%,3350,6.18%,iso1:us#iso2:us-nc#fips:37141,pender-county-north-carolina-us,"Pender County, North Carolina, United States",county,0.0,Pender County,North Carolina,United States,34.52,-77.91,63060,0.0,America/New_York,1439.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13109,37143,North Carolina,Perquimans County,13563,6526,7037,4819,5068,4711,4960,9671,3892,No,28.70%,3375,25%,288,2.12%,iso1:us#iso2:us-nc#fips:37143,perquimans-county-north-carolina-us,"Perquimans County, North Carolina, United States",county,0.0,Perquimans County,North Carolina,United States,36.21,-76.44,13463,0.0,America/New_York,259.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13110,37145,North Carolina,Person County,39268,19101,20167,13591,14028,12770,13434,26204,13064,No,33.27%,10638,27%,1640,4.18%,iso1:us#iso2:us-nc#fips:37145,person-county-north-carolina-us,"Person County, North Carolina, United States",county,0.0,Person County,North Carolina,United States,36.39,-78.97,39490,0.0,America/New_York,705.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13111,37147,North Carolina,Pitt County,172554,81418,91136,50936,54627,46852,50995,97847,74707,No,43.29%,59765,35%,9883,5.73%,iso1:us#iso2:us-nc#fips:37147,pitt-county-north-carolina-us,"Pitt County, North Carolina, United States",county,0.0,Pitt County,North Carolina,United States,35.59,-77.37,180742,0.0,America/New_York,6300.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13112,37155,North Carolina,Robeson County,135496,65835,69661,22046,22368,17667,18892,36559,98937,Yes,73.02%,33527,25%,11057,8.16%,iso1:us#iso2:us-nc#fips:37155,robeson-county-north-carolina-us,"Robeson County, North Carolina, United States",county,0.0,Robeson County,North Carolina,United States,34.64,-79.1,130625,0.0,America/New_York,6133.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13113,37161,North Carolina,Rutherford County,67323,32507,34816,28445,30430,27270,29363,56633,10690,No,15.88%,6752,10%,2548,3.78%,iso1:us#iso2:us-nc#fips:37161,rutherford-county-north-carolina-us,"Rutherford County, North Carolina, United States",county,0.0,Rutherford County,North Carolina,United States,35.4,-81.92,67029,0.0,America/New_York,1787.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13114,37161,North Carolina,Rutherford County,67323,32507,34816,28445,30430,27270,29363,56633,10690,No,15.88%,6752,10%,2548,3.78%,iso1:us#iso2:us-tn#fips:47149,rutherford-county-tennessee-us,"Rutherford County, Tennessee, United States",county,0.0,Rutherford County,Tennessee,United States,35.84,-86.42,332285,0.0,America/Chicago,12485.0,116.0,0.0,0.0,123392.0,293.0,0.0,0.0,0.0,0.0
13117,37163,North Carolina,Sampson County,63949,31467,32482,21428,21531,16354,17352,33706,30243,No,47.29%,17443,27%,11193,17.50%,iso1:us#iso2:us-nc#fips:37163,sampson-county-north-carolina-us,"Sampson County, North Carolina, United States",county,0.0,Sampson County,North Carolina,United States,34.99,-78.37,63531,0.0,America/New_York,2846.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13118,37167,North Carolina,Stanly County,60576,30215,30361,25630,25949,24562,25127,49689,10887,No,17.97%,6760,11%,2270,3.75%,iso1:us#iso2:us-nc#fips:37167,stanly-county-north-carolina-us,"Stanly County, North Carolina, United States",county,0.0,Stanly County,North Carolina,United States,35.31,-80.25,62806,0.0,America/New_York,2455.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13119,37169,North Carolina,Stokes County,46783,22814,23969,21400,22552,20806,22030,42836,3947,No,8.44%,1974,4%,1258,2.69%,iso1:us#iso2:us-nc#fips:37169,stokes-county-north-carolina-us,"Stokes County, North Carolina, United States",county,0.0,Stokes County,North Carolina,United States,36.4,-80.24,45591,0.0,America/New_York,710.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13120,37171,North Carolina,Surry County,73561,35881,37680,33574,35317,30026,32250,62276,11285,No,15.34%,2969,4%,7358,10.00%,iso1:us#iso2:us-nc#fips:37171,surry-county-north-carolina-us,"Surry County, North Carolina, United States",county,0.0,Surry County,North Carolina,United States,36.41,-80.69,71783,0.0,America/New_York,1961.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13121,37171,North Carolina,Surry County,73561,35881,37680,33574,35317,30026,32250,62276,11285,No,15.34%,2969,4%,7358,10.00%,iso1:us#iso2:us-va#fips:51181,surry-county-virginia-us,"Surry County, Virginia, United States",county,0.0,Surry County,Virginia,United States,37.11,-76.9,6422,0.0,America/New_York,142.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
13124,37173,North Carolina,Swain County,14141,6874,7267,4584,4812,4417,4685,9102,5039,No,35.63%,143,1%,617,4.36%,iso1:us#iso2:us-nc#fips:37173,swain-county-north-carolina-us,"Swain County, North Carolina, United States",county,0.0,Swain County,North Carolina,United States,35.49,-83.49,14271,0.0,America/New_York,297.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13125,37175,North Carolina,Transylvania County,32849,15827,17022,14755,15977,14229,15575,29804,3045,No,9.27%,1310,4%,1003,3.05%,iso1:us#iso2:us-nc#fips:37175,transylvania-county-north-carolina-us,"Transylvania County, North Carolina, United States",county,0.0,Transylvania County,North Carolina,United States,35.2,-82.8,34385,0.0,America/New_York,430.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13126,37177,North Carolina,Tyrrell County,4338,2397,1941,1288,1237,1189,1097,2286,2052,No,47.30%,1632,38%,319,7.35%,iso1:us#iso2:us-nc#fips:37177,tyrrell-county-north-carolina-us,"Tyrrell County, North Carolina, United States",county,0.0,Tyrrell County,North Carolina,United States,35.82,-76.21,4016,0.0,America/New_York,132.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13127,37181,North Carolina,Vance County,45132,21119,24013,10136,10974,8877,9836,18713,26419,Yes,58.54%,22852,51%,3180,7.05%,iso1:us#iso2:us-nc#fips:37181,vance-county-north-carolina-us,"Vance County, North Carolina, United States",county,0.0,Vance County,North Carolina,United States,36.36,-78.41,44535,0.0,America/New_York,1235.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13128,37183,North Carolina,Wake County,952151,463765,488386,327957,334950,287724,298475,586199,365952,No,38.43%,203809,21%,95011,9.98%,iso1:us#iso2:us-nc#fips:37183,wake-county-north-carolina-us,"Wake County, North Carolina, United States",county,0.0,Wake County,North Carolina,United States,35.79,-78.65,1111761,0.0,America/New_York,21687.0,275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13129,37189,North Carolina,Watauga County,51871,25963,25908,24739,24744,23877,24027,47904,3967,No,7.65%,923,2%,1780,3.43%,iso1:us#iso2:us-nc#fips:37189,watauga-county-north-carolina-us,"Watauga County, North Carolina, United States",county,0.0,Watauga County,North Carolina,United States,36.23,-81.7,56177,0.0,America/New_York,1425.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13130,37193,North Carolina,Wilkes County,69306,34191,35115,31886,32992,29970,31353,61323,7983,No,11.52%,3027,4%,3954,5.71%,iso1:us#iso2:us-ga#fips:13317,wilkes-county-georgia-us,"Wilkes County, Georgia, United States",county,0.0,Wilkes County,Georgia,United States,33.78,-82.74,9777,0.0,America/New_York,315.0,7.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0
13131,37193,North Carolina,Wilkes County,69306,34191,35115,31886,32992,29970,31353,61323,7983,No,11.52%,3027,4%,3954,5.71%,iso1:us#iso2:us-nc#fips:37193,wilkes-county-north-carolina-us,"Wilkes County, North Carolina, United States",county,0.0,Wilkes County,North Carolina,United States,36.21,-81.16,68412,0.0,America/New_York,1846.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13134,37197,North Carolina,Yadkin County,38084,18777,19307,17762,18271,15886,16595,32481,5603,No,14.71%,1294,3%,3902,10.25%,iso1:us#iso2:us-nc#fips:37197,yadkin-county-north-carolina-us,"Yadkin County, North Carolina, United States",county,0.0,Yadkin County,North Carolina,United States,36.16,-80.67,37667,0.0,America/New_York,1084.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13135,37199,North Carolina,Yancey County,17630,8654,8976,8362,8716,8009,8425,16434,1196,No,6.78%,183,1%,815,4.62%,iso1:us#iso2:us-nc#fips:37199,yancey-county-north-carolina-us,"Yancey County, North Carolina, United States",county,0.0,Yancey County,North Carolina,United States,35.9,-82.31,18069,0.0,America/New_York,338.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
